,Name,Loss,Accuracy,Training time,Epochs
0,DistilBERT,0.169,0.942,1426.952,3
1,BiLSTM - no cleaning - GloVe,0.484,0.764,879.08,10
2,BiLSTM - tweetprep - Glove,0.483,0.763,871.297,10
3,Logistic regression baseline,,0.74,4.62,-
4,Simple NN - no cleaning - GloVe,0.551,0.726,5.599,9
5,Simple NN - tweetprep - GloVe,0.55,0.723,5.626,9
6,BiLSTM - homemade - GloVe,0.536,0.72,868.518,1
7,BiLSTM - tweetprep - wiki2vec,0.554,0.715,930.756,10
8,Simple NN - homemade - GloVe,0.571,0.701,5.447,9
9,BiLSTM - homemade - wiki2vec,0.585,0.68,763.926,10
10,Simple NN - tweetprep - wiki2vec,0.599,0.678,5.155,8
11,Simple NN - homemade - wiki2vec,0.622,0.655,6.305,10
